app,week_label,metric,value,geo,platform,source_name,source_url
ShutEye,Q2_end,weekly_active_users,232000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
Hatch Sleep,Q2_start,weekly_revenue_usd,239000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
Hatch Sleep,Q2_end,weekly_revenue_usd,258000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
Hatch Sleep,Q2_start,weekly_downloads,22000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
Hatch Sleep,Q2_end,weekly_downloads,22000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
Hatch Sleep,Q2_start,weekly_active_users,948000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
Hatch Sleep,Q2_end,weekly_active_users,963000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
BetterSleep,Q2_start,weekly_revenue_usd,291000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
BetterSleep,Q2_end,weekly_revenue_usd,166000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
BetterSleep,Q2_mid_june_spike,weekly_downloads,207000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
BetterSleep,Q2_start,weekly_active_users,711000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
BetterSleep,Q2_mid_june_peak,weekly_active_users,917000,US,unified,"Sensor Tower — Q2 2024 Top 5 Wellness Apps (US, unified iOS+Android)",https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
